target_slot,rank,score,candidate,last_write_time,bytes
7,9,122.216,HASH-31AE820EA250BDE2_1.sav,1785568246.5478308,1763363
7,10,164.695,HASH-17493FFCCFAA8DB8_1.sav,1785654098.199359,1772955
7,11,176.302,HASH-DF4A25F86397969D_resume.sav,1785566992.7452998,1768025
7,12,193.540,HASH-6615F3E00CA7CACD_resume.sav,1785566857.065878,1779864
7,13,198.279,HASH-340476B50F5F94CD_resume.sav,1785655782.9570007,1774146
7,14,232.108,HASH-896E1422742A9389_resume.sav,1785566798.4626644,1770856
7,15,1371.732,HASH-5B42E6E2F7D4A581_2.sav,1785562966.0601773,1778419
7,16,1400.516,HASH-7C988D1BAF789746_resume.sav,1785592839.451985,1769169
7,17,1456.305,HASH-7C988D1BAF789746_3.sav,1785592837.1318157,1775297
7,18,1494.646,HASH-D4B9B4A1E9860C0A_2.sav,1785549918.6132393,1780818
7,19,1612.359,HASH-BCDFD43E492EB996_1.sav,1785534896.8147516,1808799
7,20,1615.676,HASH-BCDFD43E492EB996_resume.sav,1785534905.2999022,1807052
7,21,1694.972,HASH-340476B50F5F94CD_6.sav,1785652031.6600206,1782657
7,22,1708.963,HASH-DE2D9449B487CDF9_7.sav,1785848320.909794,1794437
7,23,1772.737,HASH-173A20935C195812_resume.sav,1785502884.0563457,1860050
7,24,1845.737,HASH-173A20935C195812_1.sav,1785502874.7707376,1874912
7,25,2428.924,HASH-8EC29F7550AF22E1_resume.sav,1784636750.7774723,1796525
7,26,2455.341,HASH-94BB56BF6BC48E89_2.sav,1786173298.3557324,1672515
7,27,2486.782,HASH-244AAEDCE95C4ACA_resume.sav,1784611512.479777,1797108
7,28,2495.736,HASH-244AAEDCE95C4ACA_5.sav,1784611456.1968775,1792502
7,29,2509.156,HASH-340476B50F5F94CD_8.sav,1785652055.6324356,1756769
7,30,2656.346,HASH-5D381712B6D6EB28_7.sav,1786251652.187712,1678284
8,1,1.477,HASH-9C791F6466AF1DFA_resume.sav,1785569657.6441653,1775823
8,2,33.473,HASH-660550AF1F902161_resume.sav,1785567329.1657946,1785244
8,3,46.572,HASH-896E1422742A9389_2.sav,1785566795.8772268,1787624
8,4,52.212,HASH-3E7AE54B97E5181C_resume.sav,1785567773.948153,1786031
8,5,59.104,HASH-ED102BDF40D4529_resume.sav,1785592432.0453713,1769321
8,6,59.147,HASH-31AE820EA250BDE2_1.sav,1785568246.5478308,1763363
8,7,89.007,HASH-8BDE3D3B81BB8343_resume.sav,1785569581.5740035,1773348
8,8,95.771,HASH-17493FFCCFAA8DB8_1.sav,1785654098.199359,1772955
8,9,103.683,HASH-340476B50F5F94CD_resume.sav,1785655782.9570007,1774146
8,10,103.855,HASH-9C791F6466AF1DFA_1.sav,1785567812.3142743,1784514
8,11,110.721,HASH-8BDE3D3B81BB8343_3.sav,1785569058.3509705,1777044
8,12,153.905,HASH-6615F3E00CA7CACD_resume.sav,1785566857.065878,1779864
8,13,305.266,HASH-DF4A25F86397969D_resume.sav,1785566992.7452998,1768025
8,14,348.827,HASH-896E1422742A9389_resume.sav,1785566798.4626644,1770856
8,15,1319.099,HASH-340476B50F5F94CD_8.sav,1785652055.6324356,1756769
8,16,1349.585,HASH-244AAEDCE95C4ACA_5.sav,1784611456.1968775,1792502
8,17,1363.587,HASH-244AAEDCE95C4ACA_resume.sav,1784611512.479777,1797108
8,18,1396.862,HASH-5B42E6E2F7D4A581_2.sav,1785562966.0601773,1778419
8,19,1431.123,HASH-7C988D1BAF789746_resume.sav,1785592839.451985,1769169
8,20,1446.700,HASH-7C988D1BAF789746_3.sav,1785592837.1318157,1775297
8,21,1578.609,HASH-5D381712B6D6EB28_8.sav,1786251663.1003926,1664490
8,22,1638.477,HASH-340476B50F5F94CD_6.sav,1785652031.6600206,1782657
8,23,1639.034,HASH-D4B9B4A1E9860C0A_2.sav,1785549918.6132393,1780818
8,24,1663.004,HASH-BCDFD43E492EB996_1.sav,1785534896.8147516,1808799
8,25,1702.657,HASH-DE2D9449B487CDF9_7.sav,1785848320.909794,1794437
8,26,1771.944,HASH-BCDFD43E492EB996_resume.sav,1785534905.2999022,1807052
8,27,1912.097,HASH-173A20935C195812_resume.sav,1785502884.0563457,1860050
8,28,1986.529,HASH-8EC29F7550AF22E1_resume.sav,1784636750.7774723,1796525
8,29,2128.311,HASH-94BB56BF6BC48E89_2.sav,1786173298.3557324,1672515
8,30,2144.948,HASH-173A20935C195812_1.sav,1785502874.7707376,1874912
9,1,0.000,HASH-7C988D1BAF789746_3.sav,1785592837.1318157,1775297
9,2,1.156,HASH-7C988D1BAF789746_resume.sav,1785592839.451985,1769169
9,3,1.639,HASH-D4B9B4A1E9860C0A_2.sav,1785549918.6132393,1780818
9,4,3.821,HASH-5B42E6E2F7D4A581_2.sav,1785562966.0601773,1778419
9,5,623.283,HASH-173A20935C195812_resume.sav,1785502884.0563457,1860050
9,6,707.898,HASH-896E1422742A9389_resume.sav,1785566798.4626644,1770856
9,7,711.611,HASH-DF4A25F86397969D_resume.sav,1785566992.7452998,1768025
9,8,717.879,HASH-BCDFD43E492EB996_1.sav,1785534896.8147516,1808799
9,9,741.333,HASH-9C791F6466AF1DFA_resume.sav,1785569657.6441653,1775823
9,10,858.171,HASH-17493FFCCFAA8DB8_1.sav,1785654098.199359,1772955
9,11,933.313,HASH-6615F3E00CA7CACD_resume.sav,1785566857.065878,1779864
9,12,936.520,HASH-BCDFD43E492EB996_resume.sav,1785534905.2999022,1807052
9,13,966.052,HASH-340476B50F5F94CD_resume.sav,1785655782.9570007,1774146
9,14,978.443,HASH-8BDE3D3B81BB8343_resume.sav,1785569581.5740035,1773348
9,15,1012.058,HASH-8BDE3D3B81BB8343_3.sav,1785569058.3509705,1777044
9,16,1061.328,HASH-31AE820EA250BDE2_1.sav,1785568246.5478308,1763363
9,17,1106.639,HASH-173A20935C195812_1.sav,1785502874.7707376,1874912
9,18,1126.175,HASH-896E1422742A9389_2.sav,1785566795.8772268,1787624
9,19,1143.667,HASH-A54E58096FC7ACD_1.sav,1784630673.5196998,1785583
9,20,1163.022,HASH-ED102BDF40D4529_resume.sav,1785592432.0453713,1769321
9,21,1361.976,HASH-DF22979C4D8DD12D_7.sav,1785494806.115676,1831457
9,22,1470.514,HASH-39247B554F59E6EC_resume.sav,1786170805.1655393,1682467
9,23,1605.300,HASH-660550AF1F902161_resume.sav,1785567329.1657946,1785244
9,24,1667.851,HASH-3E7AE54B97E5181C_resume.sav,1785567773.948153,1786031
9,25,1712.860,HASH-7092C369EFE876FE_2.sav,1785231712.511059,1725616
9,26,1712.860,HASH-7092C369EFE876FE_resume.sav,1785231716.7009284,1725797
9,27,1725.877,HASH-36A4D7BFEE911E0C_2.sav,1786192135.0800211,1672722
9,28,1754.007,HASH-501772FC819C553E_resume.sav,1786190678.8432071,1658988
9,29,1760.421,HASH-9BD6171E5513C3D5_resume.sav,1786261546.4367075,1664549
9,30,1785.713,HASH-9C791F6466AF1DFA_1.sav,1785567812.3142743,1784514
10,1,0.000,HASH-244AAEDCE95C4ACA_5.sav,1784611456.1968775,1792502
10,2,0.000,HASH-244AAEDCE95C4ACA_resume.sav,1784611512.479777,1797108
10,3,0.000,HASH-340476B50F5F94CD_8.sav,1785652055.6324356,1756769
10,4,758.864,HASH-9BD6171E5513C3D5_9.sav,1786260793.95106,1625296
10,5,1296.678,HASH-17493FFCCFAA8DB8_1.sav,1785654098.199359,1772955
10,6,1360.503,HASH-340476B50F5F94CD_6.sav,1785652031.6600206,1782657
10,7,1379.250,HASH-DE2D9449B487CDF9_7.sav,1785848320.909794,1794437
10,8,1571.393,HASH-9C791F6466AF1DFA_resume.sav,1785569657.6441653,1775823
10,9,1640.376,HASH-D4B9B4A1E9860C0A_resume.sav,1785549941.6576965,1765717
10,10,1645.315,HASH-FAFC77B9D472EFCF_resume.sav,1785594883.797143,1768890
10,11,1686.184,HASH-5B42E6E2F7D4A581_3.sav,1785564524.7643292,1763357
10,12,1686.201,HASH-7C988D1BAF789746_2.sav,1785592826.2579849,1766046
10,13,1697.881,HASH-D4B9B4A1E9860C0A_1.sav,1785549194.1466815,1763244
10,14,1705.637,HASH-8EC29F7550AF22E1_resume.sav,1784636750.7774723,1796525
10,15,1711.227,HASH-24C179AA0A196FA8_resume.sav,1784694544.364824,1763206
10,16,1721.235,HASH-FAFC77B9D472EFCF_1.sav,1785594880.607759,1766221
10,17,1722.048,HASH-24C179AA0A196FA8_3.sav,1784637546.9860625,1765570
10,18,1737.197,HASH-24C179AA0A196FA8_2.sav,1784692362.7298465,1762019
10,19,1741.685,HASH-81EA549C902A8233_resume.sav,1784721273.587187,1783980
10,20,1743.156,HASH-DF22979C4D8DD12D_6.sav,1785494677.3049996,1795813
10,21,1754.676,HASH-5B42E6E2F7D4A581_resume.sav,1785566098.8044877,1764531
10,22,1780.194,HASH-340476B50F5F94CD_resume.sav,1785655782.9570007,1774146
10,23,1788.088,HASH-896E1422742A9389_1.sav,1785566783.9787805,1766483
10,24,1821.235,HASH-8BDE3D3B81BB8343_resume.sav,1785569581.5740035,1773348
10,25,1844.283,HASH-7C988D1BAF789746_1.sav,1785592820.4958768,1765232
10,26,1866.060,HASH-17493FFCCFAA8DB8_resume.sav,1785655054.3042,1787058
10,27,1905.806,HASH-E8C8C4E642CBDB4D_1.sav,1784721384.1515155,1765461
10,28,1948.536,HASH-ED102BDF40D4529_resume.sav,1785592432.0453713,1769321
10,29,1957.652,HASH-8BDE3D3B81BB8343_3.sav,1785569058.3509705,1777044
10,30,1971.635,HASH-5B42E6E2F7D4A581_1.sav,1785562944.6100655,1761741
